                    alpha                       ri        Curve Length / nm                    Value

                      200                        1                        0         -4.2430841512381
                      200                        1                      0.5         -4.5000035067977
                      200                        1                        1         -4.7570189605964
                      200                        3                        0         -3.7052516744656
                      200                        3                      0.5         -3.9799504236115
                      200                        3                        1            -4.2547072004
                      200                        5                        0         -3.8599866159693
                      200                        5                      0.5         -4.1121947764211
                      200                        5                        1         -4.3643367218187
                      200                        7                        0         -3.4254060514312
                      200                        7                      0.5         -3.6978494238753
                      200                        7                        1         -3.9705626509167
                      200                        9                        0         -3.4158919232885
                      200                        9                        1         -3.9496308996352
                      200                       11                        0         -3.8406227104886
                      200                       11                        1         -4.3865925778336
                      200                       13                        0         -2.1228161694031
                      200                       13                        1         -2.6708730510745
                      200                       15                        0         -1.9114111017863
                      200                       15                        1         -2.4383005239344
                      200                       17                        0        -0.34071598508083
                      200                       17                        1        -0.89351641074509
                      200                       19                        0         0.01681477393583
                      200                       19                        1        -0.49637482813302
                      200                       21                        0          2.0547453422662
                      200                       21                        1          1.5087497674305
                      200                       23                        0          2.5435192392603
                      200                       23                        1          2.0157013819923
                      200                       25                        0          4.0278005296167
                      200                       25                        1          3.5112335750935
                      200                       27                        0          8.0195632657018
                      200                       27                        1          7.5033482462353
                      200                       29                        0          14.378215549408
                      200                       29                        1          13.842060800685
                      200                       31                        0          59.948097681529
                      200                       31                        1          59.437508574694
                      200                       33                        0          159.33359502112
                      200                       33                        1          158.80945664566
                      200                       35                        0         -8.0771479278456
                      200                       35                        1          -8.595514975912
                      200                       37                        0         -3.6540458098619
                      200                       37                        1         -4.1728624709164
                      200                       39                        0        -0.66713461453226
                      200                       39                        1         -1.1765349154561
                      200                       41                        0          1.7899563308612
                      200                       41                        1          1.2512463012139
                      200                       43                        0          2.6414331913751
                      200                       43                        1          2.1225544791204
                      200                       45                        0           4.889790370638
                      200                       45                        1          4.3743082914859
                      200                       47                        0          5.7833411036597
                      200                       47                        1          5.2548093712388
                      200                       49                        0          8.0016059263955
                      200                       49                        1          7.4694047344667
                      200                       51                        0           10.48098028856
                      200                       51                        1          9.9517533654084
                      200                       53                        0          10.763190436604
                      200                       53                        1          10.267207278952
                      200                       55                        0          13.931932242312
                      200                       55                        1          13.409471040349
                      200                       57                        0          15.222869562018
                      200                       57                        1          14.703246455312
                      200                       59                        0          16.655684423286
                      200                       59                        1          16.132869239829
                      200                       61                        0          19.074417348417
                      200                       61                        1           18.56694469895
                      200                       63                        0          21.907150106676
                      200                       63                        1           21.38186315537
                      200                       65                        0          24.971311798433
                      200                       65                        1           24.45854141462
                      200                       67                        0          29.262395340101
                      200                       67                        1          28.730981012315
                      200                       69                        0          30.568040581994
                      200                       69                        1           30.07229445233
                      200                       71                        0          35.567765759192
                      200                       71                        1          35.045770289522
                      200                       73                        0          40.269065933887
                      200                       73                        1          39.738726883741
                      200                       75                        0          45.188382547758
                      200                       75                        1          44.683896700696
                      200                       77                        0         -128.40375303623
                      200                       77                        1         -128.93998422032
                      200                       79                        0         -120.79870063256
                      200                       79                        1         -121.31083225902
                      200                       81                        0         -111.70534724972
                      200                       81                        1          -112.2120099856
                      200                       83                        0         -101.56468008381
                      200                       83                        1          -102.0773167302
                      200                       85                        0         -88.659145203964
                      200                       85                        1         -89.210855837957
                      200                       87                        0         -75.802030469107
                      200                       87                        1         -76.319821267261
                      200                       89                        0         -61.566591329731
                      200                       89                        1         -62.090215158122
                      200                       91                        0         -47.580533283144
                      200                       91                        1         -48.086307692804
                      200                       93                        0         -35.556551383165
                      200                       93                        1         -36.086295813252
                      200                       95                        0         -24.733375912728
                      200                       95                        1         -25.241753665715
                      200                       97                        0         -15.757645253641
                      200                       97                        1         -16.271105623129
                      200                       99                        0         -7.9220097424139
                      200                       99                        1         -8.4426950154531
                      200                      101                        0        -0.96990103148353
                      200                      101                        1         -1.4820150529819
                      200                      103                        0           4.873189666453
                      200                      103                        1          4.3630898891958
                      200                      105                        0          10.183270846937
                      200                      105                        1          9.6613340610272
                      200                      107                        0          15.129704860424
                      200                      107                        1          14.616858465199
                      200                      109                        0          19.727502883304
                      200                      109                        1          19.208402879588
                      200                      111                        0          24.158207465107
                      200                      111                        1          23.642230327673
                      200                      113                        0          28.051878174239
                      200                      113                        1          27.541736359005
                      200                      115                        0          32.028324574718
                      200                      115                        1          31.525497265795
                      200                      117                        0          35.772509123783
                      200                      117                        1          35.256256599772
                      200                      119                        0          39.608349244569
                      200                      119                        1          39.091466101121
                      200                      121                        0          42.956726695796
                      200                      121                        1          42.445041037963
                      200                      123                        0          46.328435909561
                      200                      123                        1          45.815456106047
                      200                      125                        0          49.697415409349
                      200                      125                        1          49.181807144305
                      200                      127                        0           52.76954683513
                      200                      127                        1          52.254471668311
                      200                      129                        0          55.939292413987
                      200                      129                        1          55.429991316628
                      200                      131                        0          58.733299201761
                      200                      131                        1          58.222721811039
                      200                      133                        0          61.486836264506
                      200                      133                        1          60.969679903912
                      200                      135                        0          64.391744260503
                      200                      135                      0.5          64.130712983316
                      200                      135                        1          63.869802299165
                      202                        1                        0         -5.6677654258306
                      202                        1                      0.5         -5.9354929163694
                      202                        1                        1         -6.2037427489318
                      202                        3                        0          -4.526601356171
                      202                        3                      0.5          -4.791783047005
                      202                        3                        1         -5.0569883852927
                      202                        5                        0         -5.5429729915005
                      202                        5                      0.5         -5.8086479079038
                      202                        5                        1         -6.0740815439829
                      202                        7                        0         -5.1311985936995
                      202                        7                        1         -5.6558463335481
                      202                        9                        0         -4.6144247371241
                      202                        9                        1         -5.1325556834193
                      202                       11                        0         -3.8098789700567
                      202                       11                        1          -4.339291375182
                      202                       13                        0         -3.7363144251011
                      202                       13                        1         -4.2863804262045
                      202                       15                        0          -2.699608107451
                      202                       15                        1         -3.2426859643407
                      202                       17                        0         -1.9576989972881
                      202                       17                        1         -2.4683403062705
                      202                       19                        0        -0.69301064300488
                      202                       19                        1         -1.2138313469505
